,origin,destination,distance,duration
141,Abbey Lodge,Elliott House /Westbridge,28165,2075
142,Abbey Lodge,Emmaus North East,10583,1082
143,Abbey Lodge,Eslington House Changing Lives,24269,1645
144,Abbey Lodge,Excelsior Academy,29823,2024
145,Abbey Lodge,Family Gateway,20112,1617
146,Abbey Lodge,Felling Community Association,18212,1443
147,Abbey Lodge,Forage Community Project,3426,442
148,Abbey Lodge,Francis House Changing Lives,26699,1848
149,Abbey Lodge,Gateshead Young Peoples Mental Health Service,21498,1785
150,Abbey Lodge,Great Lumley Community Centre,17170,1438
151,Abbey Lodge,Great North Road Changing Lives,21232,1777
152,Abbey Lodge,Green Gates Primary,63941,2806
153,Abbey Lodge,Harrowgate Hill Primary,46420,2648
154,Abbey Lodge,Haswell Mencap Lisa Dixon Centre,23566,1412
155,Abbey Lodge,Health Works Newcastle,32186,2053
156,Abbey Lodge,Hub of Wishes,42097,2439
157,Abbey Lodge,Investing in People and Culture,21442,1759
158,Abbey Lodge,"Jet (Wicker Chair) North,  Westerhope",32262,2029
159,Abbey Lodge,Junction 7,42097,2439
160,Abbey Lodge,Junior Neighbourhood Watch,42097,2439
161,Abbey Lodge,Kibblesworth Village Millenium Centre,20725,1621
162,Abbey Lodge,Kings Cafe,47462,2721
163,Abbey Lodge,Labyrinth Holistic Cafe,45952,2316
164,Abbey Lodge,Little Sisters Of The Poor - Newcastle,27739,1952
165,Abbey Lodge,Lobley Hill Primary,22562,1576
166,Abbey Lodge,Looked After Through Care Darlington Borough Council,49190,3063
167,Abbey Lodge,Mickley First School,42186,2660
168,Abbey Lodge,Miss Tina's Coffee Shop,3587,556
169,Abbey Lodge,Mount Pleasant Primary School,49405,2744
170,Abbey Lodge,Moving On Durham,22764,1750
171,Abbey Lodge,Murton Salvation Army,13719,912
172,Abbey Lodge,New Walk Property Management Middlesbrough,45211,2224
173,Abbey Lodge,New Walk Property Management Stockton,45965,2296
174,Abbey Lodge,Newport Primary,44529,2159
175,Abbey Lodge,PACT House,24409,2054
176,Abbey Lodge,Park End Primary,51111,2426
177,Abbey Lodge,Pelton Community Centre,18379,1664
178,Abbey Lodge,People's Pantry,35703,2404
179,Abbey Lodge,Pickle Palace,35088,2413
180,Abbey Lodge,Pottery Bank Centre,25405,2047
181,Abbey Lodge,Praxis,28514,2075
182,Abbey Lodge,Prudhoe Castle First School,40946,2647
183,Abbey Lodge,Reach Out Recovery,36301,2107
184,Abbey Lodge,Ron Eager House Changing Lives,22177,1765
185,Abbey Lodge,Roseberry Primary,37955,1895
186,Abbey Lodge,Rosebrook,41877,2071
187,Abbey Lodge,Sanctuary Supported Housing,44032,2092
188,Abbey Lodge,Sanctuary Supported Living Hartlepool,33663,1821
189,Abbey Lodge,Selby Cottage Childrens Centre,16938,1616
190,Abbey Lodge,Soul Food Spaces (Peace Of Mind),22125,1779
191,Abbey Lodge,Sprinwell Community Hub,17544,1502
192,Abbey Lodge,St Davids Community Project,5861,676
193,Abbey Lodge,St Gabriels Catholic Voluntary Academy,52394,2548
194,Abbey Lodge,St. John the Baptist Primary School,41262,1975
195,Abbey Lodge,St.Peters Court,23941,1995
196,Abbey Lodge,Sunderland Area Parent Support,5871,595
197,Abbey Lodge,Sunderland North Family Zone,666,114
198,Abbey Lodge,Sunderland Ymca,0,0
199,Abbey Lodge,Sunshine Day Nursery at Seascape Children's Centre,19473,1253
200,Abbey Lodge,The Albert,19715,1144
201,Abbey Lodge,The Ashley Foundation,412,102
202,Abbey Lodge,The Laurels Childcare Ltd,21498,1686
203,Abbey Lodge,The Oasis Cafe,27514,1939
204,Abbey Lodge,The Opportunity Cafe,30204,2064
205,Abbey Lodge,The Rifty Youth Project,34597,1886
206,Abbey Lodge,Tyneside Vineyard Extraordinary Project,24023,1996
207,Abbey Lodge,Umbrella Community Centre,36515,2890
208,Abbey Lodge,Vinnie's Cafe,22678,1798
209,Abbey Lodge,Virginia House Changing Lives,27549,1916
210,Abbey Lodge,Wallsend People Centre,22263,1791
211,Abbey Lodge,Washingwell Primary School,25561,1862
212,Abbey Lodge,West View Primary School,32087,1645
213,Abbey Lodge,West View Project,32494,1663
214,Abbey Lodge,Wharton Trust,33462,1782
215,Abbey Lodge,Whitehead Street - Changing Lives,11740,1215
216,Abbott House Changing Lives,Abbey Hill Academy,57123,2708
217,Abbott House Changing Lives,Abbey Lodge,26130,1876
218,Abbott House Changing Lives,Academy 360,22682,1446
219,Abbott House Changing Lives,Age UK Sunderland,25010,1736
220,Abbott House Changing Lives,All About You,22697,1527
221,Abbott House Changing Lives,Approach Development,85191,3697
222,Abbott House Changing Lives,Basement Project,9969,1166
223,Abbott House Changing Lives,Belle Vue 60+ Club,59436,2902
224,Abbott House Changing Lives,Belle Vue Centre Cafe,59436,2902
225,Abbott House Changing Lives,Belle Vue Play Scheme,59436,2902
226,Abbott House Changing Lives,Belle Vue Youth Project,59436,2902
227,Abbott House Changing Lives,Benfield School,7761,920
228,Abbott House Changing Lives,Beyond Limits,61890,3386
229,Abbott House Changing Lives,Bibby House - Changing Lives,8957,1119
230,Abbott House Changing Lives,Bilton Hall Community Trust,14120,1410
231,Abbott House Changing Lives,Blyth Star Enterprises,29463,1938
232,Abbott House Changing Lives,Brougham Primary School,53890,2657
233,Abbott House Changing Lives,Byker Community Association,5067,833
234,Abbott House Changing Lives,Cafe on the Shire - NTDF,15869,1465
235,Abbott House Changing Lives,Changing Lives,8113,586
236,Abbott House Changing Lives,Cheesy Waffles Project,27350,1457
237,Abbott House Changing Lives,Chester West & Central Community Project @ Bullion Hall,19060,1140
238,Abbott House Changing Lives,Choysez,30565,1862
239,Abbott House Changing Lives,Corbridge Middle School,27864,1480
240,Abbott House Changing Lives,Cornerstones Cafe,17372,1045
241,Abbott House Changing Lives,County Durham Tees Valley Rescue Mission,50873,2339
242,Abbott House Changing Lives,Cumberland House,873,161
243,Abbott House Changing Lives,Delta North Consett (formerly YMCA),23122,1942
244,Abbott House Changing Lives,Dementia Care,13772,1172
245,Abbott House Changing Lives,Dynamix Extreme Cic,4427,661
246,Abbott House Changing Lives,East Durham Community Initiatives,32219,1913
247,Abbott House Changing Lives,East Durham Partnership,39926,2018
248,Abbott House Changing Lives,Eastlea Community,30766,1744
249,Abbott House Changing Lives,Elliott House /Westbridge,995,193
250,Abbott House Changing Lives,Emmaus North East,16514,1644
251,Abbott House Changing Lives,Eslington House Changing Lives,3478,361
252,Abbott House Changing Lives,Excelsior Academy,4643,599
253,Abbott House Changing Lives,Family Gateway,12294,1135
254,Abbott House Changing Lives,Felling Community Association,6783,875
255,Abbott House Changing Lives,Forage Community Project,24568,1631
256,Abbott House Changing Lives,Francis House Changing Lives,763,140
257,Abbott House Changing Lives,Gateshead Young Peoples Mental Health Service,3384,495
258,Abbott House Changing Lives,Great Lumley Community Centre,20745,1223
259,Abbott House Changing Lives,Great North Road Changing Lives,22314,1305
260,Abbott House Changing Lives,Green Gates Primary,84491,3719
261,Abbott House Changing Lives,Harrowgate Hill Primary,54855,2533
262,Abbott House Changing Lives,Haswell Mencap Lisa Dixon Centre,35843,1996
263,Abbott House Changing Lives,Health Works Newcastle,6902,720
264,Abbott House Changing Lives,Hub of Wishes,50532,2324
265,Abbott House Changing Lives,Investing in People and Culture,3443,463
266,Abbott House Changing Lives,"Jet (Wicker Chair) North,  Westerhope",6787,788
267,Abbott House Changing Lives,Junction 7,50532,2324
268,Abbott House Changing Lives,Junior Neighbourhood Watch,50532,2324
269,Abbott House Changing Lives,Kibblesworth Village Millenium Centre,10645,864
270,Abbott House Changing Lives,Kings Cafe,55897,2606
271,Abbott House Changing Lives,Labyrinth Holistic Cafe,61104,3086
272,Abbott House Changing Lives,Little Sisters Of The Poor - Newcastle,1593,231
273,Abbott House Changing Lives,Lobley Hill Primary,5592,522
274,Abbott House Changing Lives,Looked After Through Care Darlington Borough Council,57625,2948
275,Abbott House Changing Lives,Mickley First School,19802,1392
276,Abbott House Changing Lives,Miss Tina's Coffee Shop,22986,1524
277,Abbott House Changing Lives,Mount Pleasant Primary School,57840,2629
278,Abbott House Changing Lives,Moving On Durham,24988,1480
279,Abbott House Changing Lives,Murton Salvation Army,34270,1825
280,Abbott House Changing Lives,New Walk Property Management Middlesbrough,65762,3136
281,Abbott House Changing Lives,New Walk Property Management Stockton,60712,3030
282,Abbott House Changing Lives,Newport Primary,65079,3072
283,Abbott House Changing Lives,PACT House,15384,1265
284,Abbott House Changing Lives,Park End Primary,71662,3339
285,Abbott House Changing Lives,Pelton Community Centre,14170,1109
286,Abbott House Changing Lives,People's Pantry,14654,1209
287,Abbott House Changing Lives,Pickle Palace,12705,1146
288,Abbott House Changing Lives,Pottery Bank Centre,6412,931
289,Abbott House Changing Lives,Praxis,1749,266
290,Abbott House Changing Lives,Prudhoe Castle First School,18562,1379
291,Abbott House Changing Lives,Reach Out Recovery,56852,3020
292,Abbott House Changing Lives,Ron Eager House Changing Lives,2460,529
293,Abbott House Changing Lives,Roseberry Primary,58505,2807
294,Abbott House Changing Lives,Rosebrook,56922,2684
295,Abbott House Changing Lives,Sanctuary Supported Housing,60105,2897
296,Abbott House Changing Lives,Sanctuary Supported Living Hartlepool,54214,2734
297,Abbott House Changing Lives,Selby Cottage Childrens Centre,18020,1143
298,Abbott House Changing Lives,Soul Food Spaces (Peace Of Mind),3566,528
299,Abbott House Changing Lives,Sprinwell Community Hub,12862,1009
300,Abbott House Changing Lives,St Davids Community Project,26003,1585
301,Abbott House Changing Lives,St Gabriels Catholic Voluntary Academy,72945,3461
